22:24:07.658 -> Flap opened
22:24:08.200 -> Flap closed
22:24:08.785 -> Flap opened
22:24:09.338 -> Flap closed
22:31:45.043 -> State: idle, AvgTemp: 22.06, MaxTemp: 29.44, MinTemp: 18.12
22:31:50.169 -> State: idle, AvgTemp: 22.09, MaxTemp: 29.50, MinTemp: 18.19
22:31:55.346 -> State: idle, AvgTemp: 22.12, MaxTemp: 29.56, MinTemp: 18.19
22:32:00.503 -> State: idle, AvgTemp: 22.14, MaxTemp: 29.62, MinTemp: 18.19
22:32:05.633 -> State: idle, AvgTemp: 22.16, MaxTemp: 29.69, MinTemp: 18.19
22:32:10.800 -> State: idle, AvgTemp: 22.20, MaxTemp: 29.75, MinTemp: 18.25
22:32:15.952 -> State: idle, AvgTemp: 22.22, MaxTemp: 29.81, MinTemp: 18.25
22:32:21.093 -> State: idle, AvgTemp: 22.23, MaxTemp: 29.87, MinTemp: 18.25
22:32:26.247 -> State: idle, AvgTemp: 22.27, MaxTemp: 29.94, MinTemp: 18.31
22:32:31.389 -> State: idle, AvgTemp: 22.30, MaxTemp: 30.00, MinTemp: 18.31
22:32:36.539 -> State: idle, AvgTemp: 22.31, MaxTemp: 30.06, MinTemp: 18.31
22:32:41.706 -> State: idle, AvgTemp: 22.34, MaxTemp: 30.19, MinTemp: 18.31
22:32:46.832 -> State: idle, AvgTemp: 22.37, MaxTemp: 30.25, MinTemp: 18.37
22:32:52.000 -> State: idle, AvgTemp: 22.41, MaxTemp: 30.31, MinTemp: 18.37
22:32:57.156 -> State: idle, AvgTemp: 22.44, MaxTemp: 30.37, MinTemp: 18.44
22:33:02.285 -> State: idle, AvgTemp: 22.45, MaxTemp: 30.44, MinTemp: 18.44
22:33:07.448 -> State: idle, AvgTemp: 22.47, MaxTemp: 30.50, MinTemp: 18.44
22:33:12.615 -> State: idle, AvgTemp: 22.53, MaxTemp: 30.56, MinTemp: 18.50
22:33:17.741 -> State: idle, AvgTemp: 22.55, MaxTemp: 30.62, MinTemp: 18.50
22:33:22.910 -> State: idle, AvgTemp: 22.56, MaxTemp: 30.69, MinTemp: 18.50
22:33:28.038 -> State: idle, AvgTemp: 22.61, MaxTemp: 30.75, MinTemp: 18.56
22:33:33.198 -> State: idle, AvgTemp: 22.62, MaxTemp: 30.81, MinTemp: 18.56
22:33:38.366 -> State: idle, AvgTemp: 22.64, MaxTemp: 30.87, MinTemp: 18.56
22:33:43.496 -> State: idle, AvgTemp: 22.69, MaxTemp: 30.94, MinTemp: 18.62
22:33:48.656 -> State: idle, AvgTemp: 22.70, MaxTemp: 31.00, MinTemp: 18.62
22:33:53.822 -> State: idle, AvgTemp: 22.73, MaxTemp: 31.06, MinTemp: 18.69
22:33:58.950 -> State: idle, AvgTemp: 22.75, MaxTemp: 31.12, MinTemp: 18.69
22:34:04.092 -> State: idle, AvgTemp: 22.80, MaxTemp: 31.25, MinTemp: 18.69
22:34:09.264 -> State: idle, AvgTemp: 22.83, MaxTemp: 31.31, MinTemp: 18.75
22:34:14.399 -> State: idle, AvgTemp: 22.86, MaxTemp: 31.37, MinTemp: 18.75
22:34:19.548 -> State: idle, AvgTemp: 22.91, MaxTemp: 31.44, MinTemp: 18.81
22:34:24.724 -> State: idle, AvgTemp: 22.94, MaxTemp: 31.56, MinTemp: 18.81
22:34:29.863 -> State: idle, AvgTemp: 22.95, MaxTemp: 31.62, MinTemp: 18.81
22:34:35.000 -> State: idle, AvgTemp: 23.00, MaxTemp: 31.69, MinTemp: 18.87
22:34:40.169 -> State: idle, AvgTemp: 23.02, MaxTemp: 31.75, MinTemp: 18.87
22:34:45.308 -> State: idle, AvgTemp: 23.05, MaxTemp: 31.81, MinTemp: 18.94
22:34:50.472 -> State: idle, AvgTemp: 23.08, MaxTemp: 31.87, MinTemp: 18.94
22:34:55.602 -> State: idle, AvgTemp: 23.12, MaxTemp: 31.94, MinTemp: 19.00
22:35:00.765 -> State: idle, AvgTemp: 23.16, MaxTemp: 32.06, MinTemp: 19.00
22:35:05.935 -> State: idle, AvgTemp: 23.19, MaxTemp: 32.13, MinTemp: 19.00
22:35:11.069 -> State: idle, AvgTemp: 23.22, MaxTemp: 32.19, MinTemp: 19.06
22:35:16.239 -> State: idle, AvgTemp: 23.25, MaxTemp: 32.25, MinTemp: 19.06
22:35:21.381 -> State: idle, AvgTemp: 23.28, MaxTemp: 32.31, MinTemp: 19.12
22:35:26.515 -> State: idle, AvgTemp: 23.31, MaxTemp: 32.44, MinTemp: 19.12
22:35:31.681 -> State: idle, AvgTemp: 23.34, MaxTemp: 32.50, MinTemp: 19.19
22:35:36.829 -> State: idle, AvgTemp: 23.39, MaxTemp: 32.56, MinTemp: 19.19
22:35:41.966 -> State: idle, AvgTemp: 23.42, MaxTemp: 32.63, MinTemp: 19.25
22:35:47.114 -> State: idle, AvgTemp: 23.45, MaxTemp: 32.69, MinTemp: 19.25
22:35:52.279 -> State: idle, AvgTemp: 23.48, MaxTemp: 32.75, MinTemp: 19.31
22:35:57.437 -> State: idle, AvgTemp: 23.50, MaxTemp: 32.81, MinTemp: 19.31
22:36:02.566 -> State: idle, AvgTemp: 23.55, MaxTemp: 32.88, MinTemp: 19.37
22:36:07.730 -> State: idle, AvgTemp: 23.58, MaxTemp: 33.00, MinTemp: 19.37
22:36:12.872 -> State: idle, AvgTemp: 23.62, MaxTemp: 33.06, MinTemp: 19.44
22:36:18.043 -> State: idle, AvgTemp: 23.66, MaxTemp: 33.13, MinTemp: 19.44
22:36:23.176 -> State: idle, AvgTemp: 23.69, MaxTemp: 33.19, MinTemp: 19.50
22:36:28.340 -> State: idle, AvgTemp: 23.72, MaxTemp: 33.25, MinTemp: 19.50
22:36:33.474 -> State: idle, AvgTemp: 23.75, MaxTemp: 33.31, MinTemp: 19.56
22:36:38.625 -> State: idle, AvgTemp: 23.77, MaxTemp: 33.38, MinTemp: 19.56
22:36:43.797 -> State: idle, AvgTemp: 23.84, MaxTemp: 33.50, MinTemp: 19.62
22:36:48.954 -> State: idle, AvgTemp: 23.86, MaxTemp: 33.56, MinTemp: 19.62
22:36:54.084 -> State: idle, AvgTemp: 23.91, MaxTemp: 33.63, MinTemp: 19.69
22:36:59.242 -> State: idle, AvgTemp: 23.92, MaxTemp: 33.69, MinTemp: 19.69
22:37:04.406 -> State: idle, AvgTemp: 23.97, MaxTemp: 33.81, MinTemp: 19.75
22:37:09.556 -> State: idle, AvgTemp: 24.00, MaxTemp: 33.88, MinTemp: 19.75
22:37:14.683 -> State: idle, AvgTemp: 24.03, MaxTemp: 33.94, MinTemp: 19.81
22:37:19.846 -> State: idle, AvgTemp: 24.08, MaxTemp: 34.00, MinTemp: 19.81
22:37:25.002 -> State: idle, AvgTemp: 24.11, MaxTemp: 34.06, MinTemp: 19.87
22:37:30.160 -> State: idle, AvgTemp: 24.12, MaxTemp: 34.13, MinTemp: 19.87
22:37:35.288 -> State: idle, AvgTemp: 24.17, MaxTemp: 34.19, MinTemp: 19.94
22:37:40.444 -> State: idle, AvgTemp: 24.20, MaxTemp: 34.25, MinTemp: 20.00
22:37:45.607 -> State: idle, AvgTemp: 24.25, MaxTemp: 34.31, MinTemp: 20.00
22:37:50.745 -> State: idle, AvgTemp: 24.30, MaxTemp: 34.44, MinTemp: 20.06
22:37:55.900 -> State: idle, AvgTemp: 24.33, MaxTemp: 34.50, MinTemp: 20.06
22:38:01.062 -> State: idle, AvgTemp: 24.36, MaxTemp: 34.56, MinTemp: 20.12
22:38:06.223 -> State: idle, AvgTemp: 24.37, MaxTemp: 34.63, MinTemp: 20.12
22:38:11.348 -> State: idle, AvgTemp: 24.42, MaxTemp: 34.69, MinTemp: 20.19
22:38:16.513 -> State: idle, AvgTemp: 24.45, MaxTemp: 34.75, MinTemp: 20.19
22:38:21.674 -> State: idle, AvgTemp: 24.50, MaxTemp: 34.81, MinTemp: 20.25
22:38:26.802 -> State: idle, AvgTemp: 24.52, MaxTemp: 34.88, MinTemp: 20.25
22:38:31.963 -> State: idle, AvgTemp: 24.55, MaxTemp: 34.94, MinTemp: 20.31
22:38:37.130 -> State: idle, AvgTemp: 24.58, MaxTemp: 35.00, MinTemp: 20.31
22:38:42.265 -> State: idle, AvgTemp: 24.64, MaxTemp: 35.13, MinTemp: 20.37
22:38:47.428 -> State: idle, AvgTemp: 24.69, MaxTemp: 35.19, MinTemp: 20.44
22:38:52.576 -> State: idle, AvgTemp: 24.70, MaxTemp: 35.25, MinTemp: 20.44
22:38:57.708 -> State: idle, AvgTemp: 24.75, MaxTemp: 35.31, MinTemp: 20.50
22:39:02.863 -> State: idle, AvgTemp: 24.77, MaxTemp: 35.38, MinTemp: 20.50
22:39:08.022 -> State: idle, AvgTemp: 24.83, MaxTemp: 35.44, MinTemp: 20.56
22:39:13.162 -> State: idle, AvgTemp: 24.84, MaxTemp: 35.50, MinTemp: 20.56
22:39:18.316 -> State: idle, AvgTemp: 24.89, MaxTemp: 35.63, MinTemp: 20.62
22:39:23.488 -> State: idle, AvgTemp: 24.94, MaxTemp: 35.69, MinTemp: 20.69
22:39:28.619 -> State: idle, AvgTemp: 24.95, MaxTemp: 35.75, MinTemp: 20.69
22:39:33.779 -> State: idle, AvgTemp: 25.03, MaxTemp: 35.88, MinTemp: 20.75
22:39:38.934 -> State: idle, AvgTemp: 25.05, MaxTemp: 35.94, MinTemp: 20.75
22:39:44.093 -> State: idle, AvgTemp: 25.09, MaxTemp: 36.00, MinTemp: 20.81
22:39:49.243 -> State: idle, AvgTemp: 25.12, MaxTemp: 36.06, MinTemp: 20.81
22:39:54.374 -> State: idle, AvgTemp: 25.19, MaxTemp: 36.19, MinTemp: 20.87
22:39:59.532 -> State: idle, AvgTemp: 25.22, MaxTemp: 36.25, MinTemp: 20.87
22:40:04.680 -> State: idle, AvgTemp: 25.25, MaxTemp: 36.31, MinTemp: 20.87
22:40:09.847 -> State: idle, AvgTemp: 25.28, MaxTemp: 36.38, MinTemp: 20.87
22:40:14.980 -> State: idle, AvgTemp: 25.33, MaxTemp: 36.44, MinTemp: 20.94
22:40:20.135 -> State: idle, AvgTemp: 25.36, MaxTemp: 36.50, MinTemp: 20.94
22:40:25.308 -> State: idle, AvgTemp: 25.39, MaxTemp: 36.56, MinTemp: 20.94
22:40:30.463 -> State: idle, AvgTemp: 25.42, MaxTemp: 36.63, MinTemp: 20.94
22:40:35.585 -> State: idle, AvgTemp: 25.47, MaxTemp: 36.69, MinTemp: 21.00
22:40:40.750 -> State: idle, AvgTemp: 25.52, MaxTemp: 36.75, MinTemp: 21.00
22:40:45.903 -> State: idle, AvgTemp: 25.53, MaxTemp: 36.81, MinTemp: 21.00
22:40:51.064 -> State: idle, AvgTemp: 25.58, MaxTemp: 36.94, MinTemp: 21.00
22:40:56.191 -> State: idle, AvgTemp: 25.61, MaxTemp: 37.00, MinTemp: 21.00
22:41:01.357 -> State: idle, AvgTemp: 25.66, MaxTemp: 37.06, MinTemp: 21.06
22:41:06.497 -> State: idle, AvgTemp: 25.70, MaxTemp: 37.13, MinTemp: 21.06
22:41:11.662 -> State: idle, AvgTemp: 25.72, MaxTemp: 37.19, MinTemp: 21.06
22:41:16.818 -> State: idle, AvgTemp: 25.77, MaxTemp: 37.25, MinTemp: 21.06
22:41:21.972 -> State: idle, AvgTemp: 25.81, MaxTemp: 37.31, MinTemp: 21.12
22:41:27.126 -> State: idle, AvgTemp: 25.84, MaxTemp: 37.38, MinTemp: 21.12
22:41:32.263 -> State: idle, AvgTemp: 25.87, MaxTemp: 37.44, MinTemp: 21.12
22:41:37.420 -> State: idle, AvgTemp: 25.91, MaxTemp: 37.50, MinTemp: 21.12
22:41:42.558 -> State: idle, AvgTemp: 25.95, MaxTemp: 37.56, MinTemp: 21.19
22:41:47.727 -> State: idle, AvgTemp: 26.00, MaxTemp: 37.63, MinTemp: 21.19
22:41:52.879 -> State: idle, AvgTemp: 26.02, MaxTemp: 37.69, MinTemp: 21.19
22:41:58.035 -> State: idle, AvgTemp: 26.06, MaxTemp: 37.75, MinTemp: 21.25
22:42:03.161 -> State: idle, AvgTemp: 26.09, MaxTemp: 37.81, MinTemp: 21.25
22:42:08.314 -> State: idle, AvgTemp: 26.12, MaxTemp: 37.88, MinTemp: 21.25
22:42:13.483 -> State: idle, AvgTemp: 26.19, MaxTemp: 38.00, MinTemp: 21.25
22:42:18.619 -> State: idle, AvgTemp: 26.22, MaxTemp: 38.06, MinTemp: 21.31
22:42:23.787 -> State: idle, AvgTemp: 26.27, MaxTemp: 38.13, MinTemp: 21.31
22:42:28.924 -> State: idle, AvgTemp: 26.30, MaxTemp: 38.19, MinTemp: 21.31
22:42:34.094 -> State: idle, AvgTemp: 26.34, MaxTemp: 38.25, MinTemp: 21.37
22:42:39.254 -> State: idle, AvgTemp: 26.37, MaxTemp: 38.31, MinTemp: 21.37
22:42:44.380 -> State: idle, AvgTemp: 26.42, MaxTemp: 38.38, MinTemp: 21.37
